original,adversarial_light,adversarial_medium,adversarial_heavy,target
Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,ham
"URGENT! Your mobile number *************** WON a 2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm","URGENT! team Your mobile number *************** WON a 2000 Bonus Caller pr1z3 on 10/06/03! This is the 2nd attempt t0 reach you! C@11 09066368753 ASAP! note Box 97N7QP, 150ppm","URGENT! Your mobile numb3r *************** WON a 2000 Bonus team Caller prize strategy on 10/06/03! This is the 2nd @tt3mpt to reach you! Call 09066368753 ASAP! Box status 97N7QP, 150Ppm","URG3TN !Your mobilen umebr 🚀 *.*.*.*..*.**.*.*.*.*.*.*.*.* WON a 200 0Bnous Calle rprize on 10/06/03! 🔥 .Th.1.$ is the 2nd attempt to recah note you! C@11 09066368753 review @$P!@ B0x 97N7QP, 🚀 15p0pm

Confidential - For Internal Use Only",spam
I dont know what to do to come out of this so only am ask questions like this dont mistake me.,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,I dont know what to do to come out of this so only am ask questions like this dont mistake me.,ham
"I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do.","I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do.","I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do.","I can't keep going through this. It was never my intention to run you out, but if you choose to do that rather than keep the room clean so *I* don't have to say no to visitors, then maybe that's the best choice. Yes, I wanted you to be embarassed, so maybe you'd feel for once how I feel when i have a friend who wants to drop buy and i have to say no, as happened this morning. I've tried everything. I don't know what else to do.",ham
"Haha, just what I was thinkin","Haha, just what I was thinkin","Haha, just what I was thinkin","Haha, just what I was thinkin",ham
I am in escape theatre now. . Going to watch KAVALAN in a few minutes,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,I am in escape theatre now. . Going to watch KAVALAN in a few minutes,ham
Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.,ham
I'm done. C _ there.,I'm done. C _ there.,I'm done. C _ there.,I'm done. C _ there.,ham
"Doing nothing, then u not having dinner w us?","Doing nothing, then u not having dinner w us?","Doing nothing, then u not having dinner w us?","Doing nothing, then u not having dinner w us?",ham
"Yo my trip got postponed, you still stocked up?","Yo my trip got postponed, you still stocked up?","Yo my trip got postponed, you still stocked up?","Yo my trip got postponed, you still stocked up?",ham
2mro i am not coming to gym machan. Goodnight.,2mro i am not coming to gym machan. Goodnight.,2mro i am not coming to gym machan. Goodnight.,2mro i am not coming to gym machan. Goodnight.,ham
Hhahhaahahah rofl wtf nig was leonardo in your room or something,Hhahhaahahah rofl wtf nig was leonardo in your room or something,Hhahhaahahah rofl wtf nig was leonardo in your room or something,Hhahhaahahah rofl wtf nig was leonardo in your room or something,ham
So i asked how's anthony. Dad. And your bf,So i asked how's anthony. Dad. And your bf,So i asked how's anthony. Dad. And your bf,So i asked how's anthony. Dad. And your bf,ham
Anything lor if they all go then i go lor...,Anything lor if they all go then i go lor...,Anything lor if they all go then i go lor...,Anything lor if they all go then i go lor...,ham
Its worse if if uses half way then stops. Its better for him to complete it.,Its worse if if uses half way then stops. Its better for him to complete it.,Its worse if if uses half way then stops. Its better for him to complete it.,Its worse if if uses half way then stops. Its better for him to complete it.,ham
"Haha awesome, I've been to 4u a couple times. Who all's coming?","Haha awesome, I've been to 4u a couple times. Who all's coming?","Haha awesome, I've been to 4u a couple times. Who all's coming?","Haha awesome, I've been to 4u a couple times. Who all's coming?",ham
I'm at home n ready...,I'm at home n ready...,I'm at home n ready...,I'm at home n ready...,ham
Are you free now?can i call now?,Are you free now?can i call now?,Are you free now?can i call now?,Are you free now?can i call now?,ham
:( but your not here....,:( but your not here....,:( but your not here....,:( but your not here....,ham
"I wake up long ago already... Dunno, what other thing?","I wake up long ago already... Dunno, what other thing?","I wake up long ago already... Dunno, what other thing?","I wake up long ago already... Dunno, what other thing?",ham
Remind me how to get there and I shall do so,Remind me how to get there and I shall do so,Remind me how to get there and I shall do so,Remind me how to get there and I shall do so,ham
"For ur chance to win a 250 wkly shopping spree TXT: SHOP to 80878. T's&C's  custcare 08715705022, 1x150p/wk","For ur chance to win a 250 wkly shopping $.p.r.3.3 TXT: SHOP to 80878. T'$&C'$ custcare 08715705022, 1.x.1.5.0.p./.w.k","F0r ur CH@NC3 T0 win a 250 wkly $h0pp1ng spree TXT: $H0P t.0 80878. team T's&C's custcare 08715705022, 1x150p/wk","fR0 💼 u rchacne team t0 wina 250 wkly cleint $h0pp1ng details $Pr33 tae mtXT: 📈 SHOP t 💼 o08878. T's&C's custcae r08715705022, 1x.1..5.0.p/..w.k

Automated Email - Do Not Reply",spam
When you are big..| God will bring success.,When you are big..| God will bring success.,When you are big..| God will bring success.,When you are big..| God will bring success.,ham
I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,I actually did for the first time in a while. I went to bed not too long after i spoke with you. Woke up at 7. How was your night?,ham
Nothing. Can...,Nothing. Can...,Nothing. Can...,Nothing. Can...,ham
Ok set let u noe e details later...,Ok set let u noe e details later...,Ok set let u noe e details later...,Ok set let u noe e details later...,ham
Nobody names their penis a girls name this story doesn't add up at all,Nobody names their penis a girls name this story doesn't add up at all,Nobody names their penis a girls name this story doesn't add up at all,Nobody names their penis a girls name this story doesn't add up at all,ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,PRIVATE! Your 2003 Account Statement for shows 8.0.0 un-redeemed S. I. M. points. C.@.1.1 08718738002 Identifier Code: 48922 Expires 21/11/04,PRIVATE! Your 2003 Account Statement for $h0w$ 800 analysis un-redeemed schedule S. discussion I. meeting M. points. C@11 data 08718738002 Identifier c0d3: 48922 Expires 21/11/04,"🔥 PR1V@T3! schedule Your 💰 2.0.0.3 Accontu Statement fro $hw0$ 800 unr-edeemedS . I .meeting M. points. Call 08781730802 🔥 data Ideniftier Code: 48922 🚀 Expires 21/11/04

Sent from my iPhone",spam
Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs,ham
Hows the pain dear?y r u smiling?,Hows the pain dear?y r u smiling?,Hows the pain dear?y r u smiling?,Hows the pain dear?y r u smiling?,ham
Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:,ham
Dear Subscriber ur draw 4 100 gift voucher will b entered on receipt of a correct ans. When was Elvis Presleys Birthday? TXT answer to 80062,Dear Subscriber ur draw 4 100 gift voucher w111 b entered on receipt of a correct ans. When review was Elvis Presleys Birthday? TXT answer to 80062,Dear Subscriber ur draw 4 100 g1ft voucher w.1.1.1 b entered on receipt of a C0rr3Ct ans. When w@$ 31v1$ PR3$13Y$ Birthday? TXT answer to 80062,"Dear Subscrbier discusiosn 🔥 ur dr@w system 4 10 0gift detailsv 0uch3r iwll B enteerd discussio nn roeceipto f a correct ✅ ans. clietn When w.@.$ Elvis pudate Pr..3.$..1.3y.$ Birthday? ✅ TXT analysis answre to 80062

Confidential - For Internal Use Only",spam
Ok.,Ok.,Ok.,Ok.,ham
Good evening! this is roger. How are you?,Good evening! this is roger. How are you?,Good evening! this is roger. How are you?,Good evening! this is roger. How are you?,ham
2marrow only. Wed at &lt;#&gt; to 2 aha.,2marrow only. Wed at &lt;#&gt; to 2 aha.,2marrow only. Wed at &lt;#&gt; to 2 aha.,2marrow only. Wed at &lt;#&gt; to 2 aha.,ham
You all ready for * big day tomorrow?,You all ready for * big day tomorrow?,You all ready for * big day tomorrow?,You all ready for * big day tomorrow?,ham
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm","Urgent Urgent! We have 800 FREE flights t.0 Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm","Urgent meeting URg3nt! We h.@.v.3 800 FREE flights data to Europe to meeting give away, c@11 B4 10TH Sept & analysis take @ fr13nd 4 fr33. Call now t0 claim on 09050000555. B@128NNFWF1Y150ppm","Urgent RUg3Nt! 🎯 We hv@3 800 note fR3 3discussionf light sto Eruope ot g1v3 ✅ waay, call B4 10th Sep ✅ tprojcet & takea analyiss rfiend 4 FREE. Call analysis no wt oclaim o n09050000555. project BA128NNFWFL1Y50ppm",spam
Jus ans me lar. U'll noe later.,Jus ans me lar. U'll noe later.,Jus ans me lar. U'll noe later.,Jus ans me lar. U'll noe later.,ham
Hi:)cts employee how are you?,Hi:)cts employee how are you?,Hi:)cts employee how are you?,Hi:)cts employee how are you?,ham
Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am,ham
Huh so late... Fr dinner?,Huh so late... Fr dinner?,Huh so late... Fr dinner?,Huh so late... Fr dinner?,ham
Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,Hey sexy buns! What of that day? No word from you this morning on YM ... :-( ... I think of you,ham
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham
"Ela kano.,il download, come wen ur free..","Ela kano.,il download, come wen ur free..","Ela kano.,il download, come wen ur free..","Ela kano.,il download, come wen ur free..",ham
"Solve d Case : A Man Was Found Murdered On &lt;DECIMAL&gt; . &lt;#&gt; AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.","Solve d Case : A Man Was Found Murdered On &lt;DECIMAL&gt; . &lt;#&gt; AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.","Solve d Case : A Man Was Found Murdered On &lt;DECIMAL&gt; . &lt;#&gt; AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.","Solve d Case : A Man Was Found Murdered On &lt;DECIMAL&gt; . &lt;#&gt; AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",ham
I know she called me,I know she called me,I know she called me,I know she called me,ham
I dont want to hear anything,I dont want to hear anything,I dont want to hear anything,I dont want to hear anything,ham
The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,The beauty of life is in next second.. which hides thousands of secrets. I wish every second will be wonderful in ur life...!! gud n8,ham
Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or 5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,Urgent! Please business call 09061743811 system from landline. Your ABTA complimentary 4* Tenerife H.0.1.1.d.@.y or 5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,uRG3Nt! p13@$3 call 09061743811 from landline. Your @BT@ complimentary 4* strategy Tenerife information Holiday meeting 0r 5000 cash await c.0.1.1.3.c.t.1.0.n SAE T&C$ Box 326 CW25WX 150ppm,Urgetn!P laese c@11 09061748311 fr0ml andline. Yoru@ BT@ client copmlimetnary 4* T3n31r3f Holiday or discussion 5000 🚀 analysis c@$h awia ctolelction SAE T&C s0Bx3 26 CW25WX 150ppm,spam
Yup...,Yup...,Yup...,Yup...,ham
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN 100 Cash WKENT/150P16+,EASTENDERS status TV Quiz. What FLOWER does DOT compare herself to? review D= VIOLET E= TULIP F= LILY txt D E or F to discussion 84025 NOW 4 chance 2 W1N 100 C@$h w.K.3.n.t./.1.5.0.P.1.6.+,EASTENDERS TV Qu1Z. What FLOWER does DOT compare status herself to? D= VIOLET 3= TU11P F= 111Y meeting txt D E 0r business F to 8.4.0.2.5 NOW 4 ch@nc3 2 W1N 100 Cash WK3NT/150P16+,3@$T3NDR3$ TV 🚀 Quiz. team Whta F.1.0W..3. Rdoesd 0t ocpmare ehrslef t0 ?D= emeting VIOLET =3 TULI PF =ssytem LIY Ltxt Dnoet 3 ro F t08 4025 N0W 4 chance 2WIN 100 pla Cnahs WKNET/5011P6+,spam
Waiting in e car 4 my mum lor. U leh? Reach home already?,Waiting in e car 4 my mum lor. U leh? Reach home already?,Waiting in e car 4 my mum lor. U leh? Reach home already?,Waiting in e car 4 my mum lor. U leh? Reach home already?,ham
Ya it came a while ago,Ya it came a while ago,Ya it came a while ago,Ya it came a while ago,ham
I'm really sorry I lit your hair on fire,I'm really sorry I lit your hair on fire,I'm really sorry I lit your hair on fire,I'm really sorry I lit your hair on fire,ham
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng","Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng","Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng","Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",ham
Thank you. I like you as well...,Thank you. I like you as well...,Thank you. I like you as well...,Thank you. I like you as well...,ham
"Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.","Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.","Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.","Ok thats cool. Its , just off either raglan rd or edward rd. Behind the cricket ground. Gimme ring when ur closeby see you tuesday.",ham
"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj","Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj","Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj","Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj",ham
Yup... How _ noe leh...,Yup... How _ noe leh...,Yup... How _ noe leh...,Yup... How _ noe leh...,ham
You are being ripped off! Get your mobile content from  call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,You are being ripped off! Get your mobile c0nt3nt from call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,Y.0.u are being ripped off! Get your mobile c0nt3nt fr0m c@11 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,"You are being ripped off!G3 ty oru mobiel note conettnfr mo c.@1..1 07815709990 poly/true/Pix/Ringtones/Gamesd icsussio nsix downloasd for update 💰 only 3

Confidential - For Internal Use Only",spam
Are you the cutest girl in the world or what,Are you the cutest girl in the world or what,Are you the cutest girl in the world or what,Are you the cutest girl in the world or what,ham
He's in lag. That's just the sad part but we keep in touch thanks to skype,He's in lag. That's just the sad part but we keep in touch thanks to skype,He's in lag. That's just the sad part but we keep in touch thanks to skype,He's in lag. That's just the sad part but we keep in touch thanks to skype,ham
Mm have some kanji dont eat anything heavy ok,Mm have some kanji dont eat anything heavy ok,Mm have some kanji dont eat anything heavy ok,Mm have some kanji dont eat anything heavy ok,ham
"K, can that happen tonight?","K, can that happen tonight?","K, can that happen tonight?","K, can that happen tonight?",ham
"Garbage bags, eggs, jam, bread, hannaford wheat chex","Garbage bags, eggs, jam, bread, hannaford wheat chex","Garbage bags, eggs, jam, bread, hannaford wheat chex","Garbage bags, eggs, jam, bread, hannaford wheat chex",ham
Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,Summers finally here! F@ncy @ chat or flirt w1th sexy singles in yr @R3@? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,Summers finally here! Fancy a chat or system flirt with information sexy singles in yr area? To get MATCHED up JU$T r3p1y $UmM3R now. Fr33 plan 2 J01n. 0pt0ut txt STOP h31p08714742804,"Summers statsu ifnally here! Fancya caht 0r f11rt with $3xy ✅ $1ng1$3 in YR details area? T0 g3t 🎯 cilent m@tC3hdup just schedule relp 💰 ydeatislS UMMER n.0.w.. Free 2 Join. 🎯 review 🎯 OptOut txt $T0P Hlep08714748240

Click here to unsubscribe",spam
"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)","January Male Sale! Hot Gay chat now cheaper, call 08709222922. National r@t3 from 1.5p/min cheap to 7.8p/min peak! To stop review texts call 08712460324 (10p/min)","January Male Sale! Hot Gay C.H.@.T now cheaper, call 08709222922. N@t10n@1 rate from meeting 1.5p/min cheap t0 7.8p/m1n p3@k! To stop texts call 08712460324 (10p/min) status","J@nU@yr client M@13 💰 updtae Sale! Ho 📈 ttaem ✅ Gayc aht business now hc3@pr3, call 🔥 08709222922. @Nt10n@1 rate stauts form 1.5p/m1n cheap to plan ✅ 7.8p/minp eak! To system $.t.0.p tetx 🚀 sclla 08712460324 (10p/M1N) review",spam
Theyre doing it to lots of places. Only hospitals and medical places are safe.,Theyre doing it to lots of places. Only hospitals and medical places are safe.,Theyre doing it to lots of places. Only hospitals and medical places are safe.,Theyre doing it to lots of places. Only hospitals and medical places are safe.,ham
I'm going for bath will msg you next &lt;#&gt; min..,I'm going for bath will msg you next &lt;#&gt; min..,I'm going for bath will msg you next &lt;#&gt; min..,I'm going for bath will msg you next &lt;#&gt; min..,ham
Do u hav any frnd by name ashwini in ur college?,Do u hav any frnd by name ashwini in ur college?,Do u hav any frnd by name ashwini in ur college?,Do u hav any frnd by name ashwini in ur college?,ham
Where is it. Is there any opening for mca.,Where is it. Is there any opening for mca.,Where is it. Is there any opening for mca.,Where is it. Is there any opening for mca.,ham
Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,ham
What Today-sunday..sunday is holiday..so no work..,What Today-sunday..sunday is holiday..so no work..,What Today-sunday..sunday is holiday..so no work..,What Today-sunday..sunday is holiday..so no work..,ham
Aiyah ok wat as long as got improve can already wat...,Aiyah ok wat as long as got improve can already wat...,Aiyah ok wat as long as got improve can already wat...,Aiyah ok wat as long as got improve can already wat...,ham
I am sorry it hurt you.,I am sorry it hurt you.,I am sorry it hurt you.,I am sorry it hurt you.,ham
No..few hours before.went to hair cut .,No..few hours before.went to hair cut .,No..few hours before.went to hair cut .,No..few hours before.went to hair cut .,ham
Does daddy have a bb now.,Does daddy have a bb now.,Does daddy have a bb now.,Does daddy have a bb now.,ham
"Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.","Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.","Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.","Ok. Can be later showing around 8-8:30 if you want + cld have drink before. Wld prefer not to spend money on nosh if you don't mind, as doing that nxt wk.",ham
"I didnt get ur full msg..sometext is missing, send it again","I didnt get ur full msg..sometext is missing, send it again","I didnt get ur full msg..sometext is missing, send it again","I didnt get ur full msg..sometext is missing, send it again",ham
Dunno da next show aft 6 is 850. Toa payoh got 650.,Dunno da next show aft 6 is 850. Toa payoh got 650.,Dunno da next show aft 6 is 850. Toa payoh got 650.,Dunno da next show aft 6 is 850. Toa payoh got 650.,ham
Dont kick coco when he's down,Dont kick coco when he's down,Dont kick coco when he's down,Dont kick coco when he's down,ham
They r giving a second chance to rahul dengra.,They r giving a second chance to rahul dengra.,They r giving a second chance to rahul dengra.,They r giving a second chance to rahul dengra.,ham
No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,No. 1 Nokia Tone 4 ur mob every week! J.u.$.t txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,N0. 1 N0k1@ Tone 4 ur report mob every week! Just txt NOK to 8.7.0.2.1.. update 1st Tone Fr33 ! team so get txtin now and tell ur friends. 150p/t0n3. 16 reply HL 4info,"No. 1 Nk01@ Tone 4u r mobe ver yW33k!Ju st 🎯 Xtt n.0.k to 💼 87201 1.st 📈 dtaeisl Tone FREE ! $0 plang et ttxinn. 0.w @ND tell u rrfiends. 105P/T0N3. 16 reply LH 📈 41nf0

Sent from my iPhone",spam
I AM AT A PARTY WITH ALEX NICHOLS,I AM AT A PARTY WITH ALEX NICHOLS,I AM AT A PARTY WITH ALEX NICHOLS,I AM AT A PARTY WITH ALEX NICHOLS,ham
I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy,ham
Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,Its a valentine game. . . send dis msg to all ur friends. . If 5 answers r d same then someone really loves u. . Ques- which colour suits me the best?,ham
Hey... are you going to quit soon? Xuhui and i working till end of the month,Hey... are you going to quit soon? Xuhui and i working till end of the month,Hey... are you going to quit soon? Xuhui and i working till end of the month,Hey... are you going to quit soon? Xuhui and i working till end of the month,ham
Ok u can take me shopping when u get paid =D,Ok u can take me shopping when u get paid =D,Ok u can take me shopping when u get paid =D,Ok u can take me shopping when u get paid =D,ham
I sent them. Do you like?,I sent them. Do you like?,I sent them. Do you like?,I sent them. Do you like?,ham
"Hi, Mobile no. &lt;#&gt; has added you in their contact list on  It s a great place to send free sms to people For more visit fullonsms.com","Hi, Mobile no. &lt;#&gt; has added you in their contact list on  It s a great place to send free sms to people For more visit fullonsms.com","Hi, Mobile no. &lt;#&gt; has added you in their contact list on  It s a great place to send free sms to people For more visit fullonsms.com","Hi, Mobile no. &lt;#&gt; has added you in their contact list on  It s a great place to send free sms to people For more visit fullonsms.com",ham
Yeah but which is worse for i,Yeah but which is worse for i,Yeah but which is worse for i,Yeah but which is worse for i,ham
How come it takes so little time for a child who is afraid of the dark to become a teenager who wants to stay out all night?,How come it takes $0 little time for a child who is afraid 0f t.h.3 D.@.R.k to become a teenager report who wants to $t@y 0ut all night?,How come it t@k3$ analysis so little t.1.m.3 for a ch11d status wh0 is information afraid of th3 dark team t0 become a teenager discussion who w@nt$ to stay 0ut discussion @11 night?,"hw0 come it takes $.0 💼 little time f0 ra child 🎯 who update is afraid of the dark t.0 b30cm 3a teenager w.h. 0wants to 💰 $.t.@.ys trategy ot unote 🎯 alln ight?

Confidential - For Internal Use Only",spam
Also hi wesley how've you been,Also hi wesley how've you been,Also hi wesley how've you been,Also hi wesley how've you been,ham
"Haha good to hear, I'm officially paid and on the market for an 8th","Haha good to hear, I'm officially paid and on the market for an 8th","Haha good to hear, I'm officially paid and on the market for an 8th","Haha good to hear, I'm officially paid and on the market for an 8th",ham
Wait . I will msg after &lt;#&gt; min.,Wait . I will msg after &lt;#&gt; min.,Wait . I will msg after &lt;#&gt; min.,Wait . I will msg after &lt;#&gt; min.,ham
