email,target,email_spaced
We live in the next &lt;#&gt; mins,ham,We live in the next &lt;#&gt; mins
Correct. So how was work today,ham,Correct. So how was work today
"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...",ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,ham,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...
Headin towards busetop,ham,Headin towards busetop
Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?,ham,Aiyo u so poor thing... Then u dun wan 2 eat? U bathe already?
Which is weird because I know I had it at one point,ham,Which is weird because I know I had it at one point
Si si. I think ill go make those oreo truffles.,ham,Si si. I think ill go make those oreo truffles.
What about this one then.,ham,What about this one then.
I wont do anything de.,ham,I wont do anything de.
Lol no ouch but wish i'd stayed out a bit longer,ham,Lol no ouch but wish i'd stayed out a bit longer
"not that I know of, most people up here are still out of town",ham,"not that I know of, most people up here are still out of town"
Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.,ham,Raji..pls do me a favour. Pls convey my Birthday wishes to Nimya. Pls. Today is her birthday.
"I'm in a meeting, call me later at",ham,"I'm in a meeting, call me later at"
Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.,ham,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.
Lol yes. But it will add some spice to your day.,ham,Lol yes. But it will add some spice to your day.
There's someone here that has a year &lt;#&gt; toyota camry like mr olayiwola's own. Mileage is &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,ham,There's someone here that has a year &lt;#&gt; toyota camry like mr olayiwola's own. Mileage is &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.
S:)no competition for him.,ham,S:)no competition for him.
"aight we can pick some up, you open before tonight?",ham,"aight we can pick some up, you open before tonight?"
Dear we are going to our rubber place,ham,Dear we are going to our rubber place
I will see in half an hour,ham,I will see in half an hour
Sent me ur email id soon,ham,Sent me ur email id soon
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her:  STOP? Send STOP FRND to 62468,spam,Natalja (25/F) is inviting y o u to be h e r fr iend. R e p l y Y E S-440 or NO-440 S e e h e r:  S T O P? S e n d S T O P FRND to 62468
:-( sad puppy noise,ham,:-( sad puppy noise
"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!",ham,"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!"
"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",ham,"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\"""""
Hey... What time is your driving on fri? We go for evaluation on fri?,ham,Hey... What time is your driving on fri? We go for evaluation on fri?
Cos darren say _ considering mah so i ask _...,ham,Cos darren say _ considering mah so i ask _...
And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-),ham,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,spam,C a m era - Y o u are a w a r d e d a S iPix D i g i t a l C amera! ca ll 09061221066 fromm l a n d l i n e. D e l i v e r y w ithin 28 da ys.
"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
Where you. What happen,ham,Where you. What happen
Nt joking seriously i told,ham,Nt joking seriously i told
Yup ok...,ham,Yup ok...
Wat r u doing now?,ham,Wat r u doing now?
No message..no responce..what happend?,ham,No message..no responce..what happend?
"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",spam,"Hottest p i c s straight to y our p h o n e!! S e e me getting Wet and Wanting, ju st for y o u xx T e x t P I C S to 89555 n o w! txt costs 15 0p textoperator g696ga 18 XxX"
"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",ham,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel..."
Nope. I just forgot. Will show next week,ham,Nope. I just forgot. Will show next week
I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!,ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!
No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.,ham,No I'm in the same boat. Still here at my moms. Check me out on yo. I'm half naked.
"Sir, i am waiting for your call, once free please call me.",ham,"Sir, i am waiting for your call, once free please call me."
Then mum's repent how?,ham,Then mum's repent how?
"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea"
I notice you like looking in the shit mirror youre turning into a right freak,ham,I notice you like looking in the shit mirror youre turning into a right freak
Hmmm.but you should give it on one day..,ham,Hmmm.but you should give it on one day..
Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx,ham,Thanx 4 2day! U r a goodmate I THINK UR RITE SARY! ASUSUAL!1 U CHEERED ME UP! LOVE U FRANYxxxxx
We have pizza if u want,ham,We have pizza if u want
"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\""""",ham,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\"""""
"Bored of speed dating? Try SPEEDCHAT, txt SPEEDCHAT to 80155, if you don't like em txt SWAP and get a new chatter! Chat80155 POBox36504W45WQ 150p/msg rcd 16",spam,"Bored of speed da ting? T r y SPEEDCHAT, txt SPEEDCHAT to 80155, if y o u don't l i k e em txt SWAP and g e t a n e w chatter! Chat80155 POBox36504W45WQ 1 5 0 p/msg rcd 16"
And do you have any one that can teach me how to ship cars.,ham,And do you have any one that can teach me how to ship cars.
I asked sen to come chennai and search for job.,ham,I asked sen to come chennai and search for job.
I am on the way to ur home,ham,I am on the way to ur home
"If you don't, your prize will go to another customer. T&C at  18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",spam,"If y o u don't, y o u r p rize wi ll go to another cus tomer. T&C at  18+ 1 5 0 p/min Polo Ltd Suite 373 London W1J 6HL Plea se ca ll ba ck if busy"
I absolutely LOVE South Park! I only recently started watching the office.,ham,I absolutely LOVE South Park! I only recently started watching the office.
Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.,ham,Yeah I imagine he would be really gentle. Unlike the other docs who treat their patients like turkeys.
Oh k. . I will come tomorrow,ham,Oh k. . I will come tomorrow
What happen dear. Why you silent. I am tensed,ham,What happen dear. Why you silent. I am tensed
Am surfing online store. For offers do you want to buy any thing.,ham,Am surfing online store. For offers do you want to buy any thing.
"Haven't seen my facebook, huh? Lol!",ham,"Haven't seen my facebook, huh? Lol!"
"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\""""",ham,"'An Amazing Quote'' - \Sometimes in life its difficult to decide whats wrong!! a lie that brings a smile or the truth that brings a tear....\"""""
This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola,ham,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
Cuz ibored. And don wanna study,ham,Cuz ibored. And don wanna study
Got it..mail panren paru..,ham,Got it..mail panren paru..
"Hi, can i please get a &lt;#&gt; dollar loan from you. I.ll pay you back by mid february. Pls.",ham,"Hi, can i please get a &lt;#&gt; dollar loan from you. I.ll pay you back by mid february. Pls."
IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO,ham,IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO
Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.
"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?",ham,"Ugh y can't u just apologize, admit u were wrong and ask me to take u back?"
 predict wat time _'ll finish buying?,ham, predict wat time _'ll finish buying?
May i call You later Pls,ham,May i call You later Pls
I will lick up every drop :) are you ready to use your mouth as well?,ham,I will lick up every drop :) are you ready to use your mouth as well?
Yup it's at paragon... I havent decided whether 2 cut yet... Hee...,ham,Yup it's at paragon... I havent decided whether 2 cut yet... Hee...
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam,"Congra ts! 2 mo bile 3G Videophones R you rs. ca ll 09061744553 n o w! videochat wid ur mat es, pl ay java g a m e s, Dload polyH mu sic, noline rentl. bx4 20. ip4. 5we. 150pm"
"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to  Ts&Cs apply.2 stop texts txt STOP to 80062.",spam,"De ar V o u c h e r H o l d e r, 2 c l a i m th is w e e k s off er, at y o u r PC go to  Ts&Cs a p p ly.2 s t o p tex ts txt S T O P to 800 62."
"WELL DONE! Your 4* Costa Del Sol Holiday or 5000 await collection. Call 09050090044 Now toClaim. SAE, TCs, POBox334, Stockport, SK38xh, Cost1.50/pm, Max10mins",spam,"WELL DONE! Y o u r 4* C osta Del Sol H o l i d a y or 50 00 a w a i t coll ection. C a l l 09050 090044 N o w t o C l a i m. SAE, TCs, P O B o x 3 3 4, Sto ckport, SK38 xh, C o s t 1.50/pm, Ma x10mins"
Ok cool. See ya then.,ham,Ok cool. See ya then.
THANX 4 PUTTIN DA FONE DOWN ON ME!!,ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
"Its 6 to get in, is that ok?",ham,"Its 6 to get in, is that ok?"
&lt;#&gt; in mca. But not conform.,ham,&lt;#&gt; in mca. But not conform.
What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..,ham,What u mean u almost done? Done wif sleeping? But i tot u going to take a nap.. Yup i send her liao so i'm picking her up at ard 4 smth lor..
"I've got &lt;#&gt; , any way I could pick up?",ham,"I've got &lt;#&gt; , any way I could pick up?"
Ambrith..madurai..met u in arun dha marrge..remembr?,ham,Ambrith..madurai..met u in arun dha marrge..remembr?
"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm.",ham,"Well done, blimey, exercise, yeah, i kinda remember wot that is, hmm."
"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",spam,"Did y o u hear a bout the n e w \Divorce Barbie\""? It comes w i t h a l l of Ken's stuff!"""
You have registered Sinco as Payee. Log in at icicibank.com and enter URN &lt;#&gt; to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN &lt;#&gt; to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
I cant pick the phone right now. Pls send a message,ham,I cant pick the phone right now. Pls send a message
K..then come wenever u lik to come and also tel vikky to come by getting free time..:-),ham,K..then come wenever u lik to come and also tel vikky to come by getting free time..:-)
"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear..""",ham,"Frnd s not juz a word.....not merely a relationship.....its a silent promise which says ... \ I will be with YOU \"" Wherevr.. Whenevr.. Forevr... Gudnyt dear.."""
Anything lor is she coming?,ham,Anything lor is she coming?
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham,I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon
Hey you around? I've got enough for a half + the ten I owe you,ham,Hey you around? I've got enough for a half + the ten I owe you
Pls call me da. What happen.,ham,Pls call me da. What happen.
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam,Not heard fr om U4 a while. C a l l 4 rude c h a t p r i v a t e l i n e 01223585334 to cum. Wan 2C p i c s of me gettin shagged t h e n t e x t PIX to 8552. 2End se nd S T O P 8552 SAM xxx
"By the way, 'rencontre' is to meet again. Mountains dont....",ham,"By the way, 'rencontre' is to meet again. Mountains dont...."
No. Yes please. Been swimming?,ham,No. Yes please. Been swimming?
"Dear Voucher Holder, To claim this weeks offer, at you PC please go to  Ts&Cs apply. To stop texts, txt STOP to 80062",spam,"D e a r Vouc her H o l d e r, To cla im th is w e e k s o f f e r, at y o u PC p l e a s e go to  Ts&Cs a p p ly. To s t o p t e x t s, txt ST OP to 80 062"
I am not having her number sir,ham,I am not having her number sir
Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam,Y o u ha ve an i mportant cu stomer serv ice announcement. C a l l F R E E P H O N E 08 00 542 0825 n o w!
Me too baby! I promise to treat you well! I bet you will take good care of me...,ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|,ham,You should know now. So how's anthony. Are you bringing money. I've school fees to pay and rent and stuff like that. Thats why i need your help. A friend in need....|
Sounds great! Are you home now?,ham,Sounds great! Are you home now?
Sindu got job in birla soft ..,ham,Sindu got job in birla soft ..
"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad.""",ham,"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."""
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam,B u y Space Invaders 4 a c h a n c e 2 w i n orig Arcade Game console. Press 0 for Gam es Arcade (std WAP charge) S e e o2.co.uk/g a m e s 4 Ter ms + settings. No purchase
Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.,ham,Any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer's paperwork. Not cool at all. Please do not contact me again or I will report you to your supervisor.
My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?,ham,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,ham,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
I'm wif him now buying tix lar...,ham,I'm wif him now buying tix lar...
I'll probably be around mu a lot,ham,I'll probably be around mu a lot
I havent add _ yet right..,ham,I havent add _ yet right..
Eat jap done oso aft ur lect wat...  got lect at 12 rite...,ham,Eat jap done oso aft ur lect wat...  got lect at 12 rite...
Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
U wan 2 haf lunch i'm in da canteen now.,ham,U wan 2 haf lunch i'm in da canteen now.
I've reached home finally...,ham,I've reached home finally...
The greatest test of courage on earth is to bear defeat without losing heart....gn tc,ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
Everybody had fun this evening. Miss you.,ham,Everybody had fun this evening. Miss you.
It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure,ham,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
Oh ok wait 4 me there... My lect havent finish,ham,Oh ok wait 4 me there... My lect havent finish
"\Are you comingdown later?\""""",ham,"\Are you comingdown later?\"""""
Now am free call me pa.,ham,Now am free call me pa.
"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there.",ham,"Erm... Woodland avenue somewhere. Do you get the parish magazine, his telephone number will be in there."
I got your back! Do you have any dislikes in bed?,ham,I got your back! Do you have any dislikes in bed?
No need to say anything to me. I know i am an outsider,ham,No need to say anything to me. I know i am an outsider
That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week,ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
"Evening * v good if somewhat event laden. Will fill you in, don't you worry _ Head * ok but throat * wrecked. See you at six then!",ham,"Evening * v good if somewhat event laden. Will fill you in, don't you worry _ Head * ok but throat * wrecked. See you at six then!"
See the forwarding message for proof,ham,See the forwarding message for proof
Cos i want it to be your thing,ham,Cos i want it to be your thing
Happy new year to u too!,ham,Happy new year to u too!
Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?
I dont understand your message.,ham,I dont understand your message.
I went to project centre,ham,I went to project centre
I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-),ham,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.,ham,Idk. I'm sitting here in a stop and shop parking lot right now bawling my eyes out because i feel like i'm a failure in everything. Nobody wants me and now i feel like i'm failing you.
will you like to be spoiled? :),ham,will you like to be spoiled? :)
Why you keeping me away like this,ham,Why you keeping me away like this
"Why is that, princess? I bet the brothas are all chasing you!",ham,"Why is that, princess? I bet the brothas are all chasing you!"
Done it but internet connection v slow and cant send it. Will try again later or first thing tomo.,ham,Done it but internet connection v slow and cant send it. Will try again later or first thing tomo.
He is a womdarfull actor,ham,He is a womdarfull actor
SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,spam,SplashMobile: Choo se f rom 1000s of gr8 t ones each wk! T h i s is a subscrition s e r v i c e wi th we ekly t o n e s costing 300p. U h a v e one c r e d i t - kick b ack and ENJ OY
"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up",ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
they released another Italian one today and it has a cosign option,ham,they released another Italian one today and it has a cosign option
If u sending her home first it's ok lor. I'm not ready yet.,ham,If u sending her home first it's ok lor. I'm not ready yet.
Today my system sh get ready.all is well and i am also in the deep well,ham,Today my system sh get ready.all is well and i am also in the deep well
Oh did you charge camera,ham,Oh did you charge camera
Jay says that you're a double-faggot,ham,Jay says that you're a double-faggot
i see. When we finish we have loads of loans to pay,ham,i see. When we finish we have loads of loans to pay
Every monday..nxt week vl be completing..,ham,Every monday..nxt week vl be completing..
Ok i go change also...,ham,Ok i go change also...
You do what all you like,ham,You do what all you like
"As usual..iam fine, happy &amp; doing well..:)",ham,"As usual..iam fine, happy &amp; doing well..:)"
Are you going to wipro interview today?,ham,Are you going to wipro interview today?
Wat would u like 4 ur birthday?,ham,Wat would u like 4 ur birthday?
You tell what happen dont behave like this to me. Ok no need to say,ham,You tell what happen dont behave like this to me. Ok no need to say
In da car park,ham,In da car park
"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
I like to think there's always the possibility of being in a pub later.,ham,I like to think there's always the possibility of being in a pub later.
Have you been practising your curtsey?,ham,Have you been practising your curtsey?
Money i have won wining number 946 wot do i do next,spam,M o n e y i h a v e won wining n umber 946 wot do i do n e x t
NEFT Transaction with reference number &lt;#&gt; for Rs. &lt;DECIMAL&gt; has been credited to the beneficiary account on &lt;#&gt; at &lt;TIME&gt; : &lt;#&gt;,ham,NEFT Transaction with reference number &lt;#&gt; for Rs. &lt;DECIMAL&gt; has been credited to the beneficiary account on &lt;#&gt; at &lt;TIME&gt; : &lt;#&gt;
Dont think so. It turns off like randomlly within 5min of opening,ham,Dont think so. It turns off like randomlly within 5min of opening
No i am not having not any movies in my laptop,ham,No i am not having not any movies in my laptop
Aiyo please _ got time meh.,ham,Aiyo please _ got time meh.
Surely result will offer:),ham,Surely result will offer:)
Networking job is there.,ham,Networking job is there.
K.:)you are the only girl waiting in reception ah?,ham,K.:)you are the only girl waiting in reception ah?
ok....take care.umma to you too...,ham,ok....take care.umma to you too...
alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap
Wat's da model num of ur phone?,ham,Wat's da model num of ur phone?
Now only i reached home. . . I am very tired now. . I will come tomorro,ham,Now only i reached home. . . I am very tired now. . I will come tomorro
Then i buy.,ham,Then i buy.
All done? All handed in? Celebrations in full swing yet?,ham,All done? All handed in? Celebrations in full swing yet?
He says hi and to get your ass back to south tampa (preferably at a kegger),ham,He says hi and to get your ass back to south tampa (preferably at a kegger)
"Sorry,in meeting I'll call later",ham,"Sorry,in meeting I'll call later"
Super msg da:)nalla timing.,ham,Super msg da:)nalla timing.
Total video converter free download type this in google search:),ham,Total video converter free download type this in google search:)
I have a rather prominent bite mark on my right cheek,ham,I have a rather prominent bite mark on my right cheek
Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?,ham,Am on a train back from northampton so i'm afraid not! I'm staying skyving off today ho ho! Will be around wednesday though. Do you fancy the comedy club this week by the way?
May b approve panalam...but it should have more posts..,ham,May b approve panalam...but it should have more posts..
Studying. But i.ll be free next weekend.,ham,Studying. But i.ll be free next weekend.
Wat happened to the cruise thing,ham,Wat happened to the cruise thing
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",ham,"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love"
Enjoy ur life. . Good night,ham,Enjoy ur life. . Good night
Eat at old airport road... But now 630 oredi... Got a lot of pple...,ham,Eat at old airport road... But now 630 oredi... Got a lot of pple...
Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
Well done and ! luv ya all,ham,Well done and ! luv ya all
U meet other fren dun wan meet me ah... Muz b a guy rite...,ham,U meet other fren dun wan meet me ah... Muz b a guy rite...
No. She's currently in scotland for that.,ham,No. She's currently in scotland for that.
"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
Missed call alert. These numbers called but left no message. 07008009200,spam,Missed c a l l alert. These nu mbers called but left no m e s s a g e. 07008009200
You have registered Sinco as Payee. Log in at icicibank.com and enter URN &lt;#&gt; to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN &lt;#&gt; to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.
U wake up already? Thanx 4 e tau sar piah it's quite nice.,ham,U wake up already? Thanx 4 e tau sar piah it's quite nice.
Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(,ham,Lol your right. What diet? Everyday I cheat anyway. I'm meant to be a fatty :(
Sleeping nt feeling well,ham,Sleeping nt feeling well
Keep my payasam there if rinu brings,ham,Keep my payasam there if rinu brings
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
WINNER!! As a valued network customer you have been selected to receivea 900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam,WINN ER!! As a val ued n e t w o r k c ustomer y o u h ave be en sel ected to receivea 900 p r i z e reward! To c l a i m c a l l 09061701461. C laim co de KL341. V a l i d 12 hours on ly.
Da is good good player.why he is unsold.,ham,Da is good good player.why he is unsold.
East coast,ham,East coast
Bognor it is! Should be splendid at this time of year.,ham,Bognor it is! Should be splendid at this time of year.
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,ham,I'm not driving... Raining! Then i'll get caught at e mrt station lor.
Not yet chikku..wat abt u?,ham,Not yet chikku..wat abt u?
"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.",ham,"I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up."
"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
Im done. Just studyn in library,ham,Im done. Just studyn in library
Apo all other are mokka players only,ham,Apo all other are mokka players only
You have 1 new voicemail. Please call 08719181503,spam,Y o u h a v e 1 n e w voicemail. P l e a s e ca ll 08719181503
"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*",ham,"I love you !!! You know? Can you feel it? Does it make your belly warm? I wish it does, my love ... I shall meet you in your dreams, Ahmad ... *adoring kiss*"
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam,B I G BROTHER ALERT! The computer has s elected u for 10k c ash or #150 v o u c h e r. Ca ll 09064018838. NTT PO Box CRO1327 18+ BT L a n d l i n e C o s t 150 ppm m o b i l e s v ary
This is all just creepy and crazy to me.,ham,This is all just creepy and crazy to me.
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. .."""
